Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
Rap Hard,Kid Mesc Intro [Single Cover],"Artwork was posted as singles but appears to be apart of an EP or compilation titled ""Long Time Awaited.""",,,,Single,Used,/cudigold/art/kid-mesc-intro-single-cover.jpg
Rap Hard,Bang [Single Cover],"Artwork was posted as singles but appears to be apart of an EP or compilation titled ""Long Time Awaited.""",,,,Single,Used,/cudigold/art/bang-single-cover.jpg
Rap Hard,Spontanously Combust [Single Cover],"Artwork was posted as singles but appears to be apart of an EP or compilation titled ""Long Time Awaited.""",,,,Single,Used,/cudigold/art/spontanously-combust-single-cover.jpg
Rap Hard,Average [Single Cover],"Artwork was posted as singles but appears to be apart of an EP or compilation titled ""Long Time Awaited.""",,,,Single,Used,/cudigold/art/average-single-cover.jpg
A Kid Named Cudi,A-Trak -  Running Man: Nike+ Original Run [Front Cover],Cover art for Running Man: Nike+ Original Run by A-Trak.,,,,Front Cover,Used,/cudigold/art/a-trak-running-man-nike-original-run-front-cover.jpg
A Kid Named Cudi,A-Trak -  Running Man: Nike+ Original Run [CD Art],"Promotional CD Art for Running Man: Nike+ Original Run by A-Trak. The credits mention the song ""My Time,"" which is most likely the name for Kid Cudi's track on there. Not Catch Up.",,,,Other,Used,/cudigold/art/a-trak-running-man-nike-original-run-cd-art.jpg
A Kid Named Cudi,Day N Nite EP [Front Cover],Front cover for the Day N Nite/Dat New New EP.,,,,Front Cover,Used,/cudigold/art/day-n-nite-ep-front-cover.jpg
A Kid Named Cudi,Day N Nite EP [Back Cover],One of the back covers for the Day N Nite/Dat New New EP.,,,,Back Cover,Used,/cudigold/art/day-n-nite-ep-back-cover.jpg
A Kid Named Cudi,,One of the back covers for the Day N Nite Single.,,,,Back Cover,Used,
A Kid Named Cudi,Day N Nite (Crookers Remix),Single artwork for the Day N Nite (Crookers Remix).,,,,Front Cover,Used,/cudigold/art/day-n-nite-crookers-remix.jpg
A Kid Named Cudi,A Kid Named Cudi (2008) [Front Cover],Front cover for A Kid Named Cudi (2008).,,,,Front Cover,Used,/cudigold/art/a-kid-named-cudi-2008-front-cover.jpg
A Kid Named Cudi,A Kid Named Cudi (2008) [Back Cover],Back cover for A Kid Named Cudi (2008).,,,,Back Cover,Used,/cudigold/art/a-kid-named-cudi-2008-back-cover.jpg
A Kid Named Cudi,88-Keys - Adam's Case Files [Front Cover],Front cover for the mixtape Adam's Case Files.,,,,Front Cover,Used,/cudigold/art/88-keys-adam-s-case-files-front-cover.jpg
A Kid Named Cudi,88-Keys - Adam's Case Files [Back Cover],Back cover for the mixtape Adam's Case Files.,,,,Back Cover,Used,/cudigold/art/88-keys-adam-s-case-files-back-cover.jpg
A Kid Named Cudi,Diplo & Santigold - Top Ranking: A Diplo Dub [Front Cover],,,,,Front Cover,Used,/cudigold/art/diplo-santigold-top-ranking-a-diplo-dub-front-cover.jpg
A Kid Named Cudi,Diplo & Santigold - Top Ranking: A Diplo Dub [Back Cover],,,,,Back Cover,Used,/cudigold/art/diplo-santigold-top-ranking-a-diplo-dub-back-cover.jpg
Man On The Moon [V1],,OG Artwork for The Death of Adam,,,,Front Cover,Unused,
Man On The Moon [V1],88-Keys - The Death Of Adam [Front Cover],,,,,Front Cover,Used,/cudigold/art/88-keys-the-death-of-adam-front-cover.jpg
Man On The Moon [V1],,,,,,Back Cover,Used,
Man On The Moon [V1],,,,,,Front Cover,Used,
Man On The Moon [V1],,,,,,Back Cover,Used,
Man On The Moon [V1],,,,,,Front Cover,Used,
Man On The Moon [V1],,,,,,Back Cover,Used,
Man On The Moon [V1],,,,,,Front Cover,Used,
Man On The Moon [V1],,,,,,Back Cover,Used,
Man On The Moon [V1],Make Her Say [Single 1],,,,,Front Cover,Used,/cudigold/art/make-her-say-single-1.jpg
Man On The Moon [V1],Make Her Say [Back Cover],,,,,Back Cover,Used,/cudigold/art/make-her-say-back-cover.jpg
